abs_x,abs_y,alfa
61.78,18.91,-90
62.53,18.91,-90
63.28,18.91,-90
64.03,18.91,-90
64.78,18.91,-90
65.53,18.91,-90
66.28,18.91,-90
67.03,18.91,-90
67.78,18.91,-90
68.53,18.91,-90
69.28,18.91,-90
70.03,18.91,-90
70.78,18.91,-90
71.53,18.91,-90
72.28,18.91,-90
73.03,18.91,-90
73.78,18.91,-90
74.53,18.91,-90
75.28,18.91,-90
76.03,18.91,-90
76.72,18.91,-90
77.34,18.91,-90
77.91,18.91,-90
78.41,18.91,-90
78.84,18.91,-90
79.22,18.91,-90
79.53,18.91,-90
79.78,18.91,-90
80.03,18.91,-90
80.28,18.91,-90
80.53,18.91,-97.5
80.77,18.92,-105
81,18.94,-112.5
81.22,18.97,-120
81.42,19.02,-127.5
81.59,19.1,-135
81.75,19.19,-142.5
81.87,19.32,-150
81.97,19.47,-157.5
82.03,19.66,-165
82.06,19.88,-172.5
82.06,20.13,-180
82.06,20.38,180
82.06,20.63,180
82.06,20.88,180
82.06,21.13,180
82.06,21.38,180
82.06,21.63,180
82.06,21.88,180
82.06,22.13,180
82.06,22.38,180
82.06,22.63,180
82.06,22.88,180
82.06,23.13,180
82.06,23.38,180
82.06,23.63,180
82.06,23.88,180
82.06,24.13,180
82.06,24.38,180
82.06,24.63,180
82.06,24.88,180
82.06,25.13,180
82.06,25.38,180
82.06,25.63,180
82.06,25.88,180
82.06,26.13,180
82.06,26.38,180
82.06,26.63,180
82.06,26.88,180
82.06,27.13,180
82.06,27.38,180
82.06,27.63,180
82.06,27.88,180
82.06,28.13,180
82.06,28.38,180
82.06,28.63,180
82.06,28.88,180
82.06,29.13,180
82.06,29.38,180
82.06,29.63,180
82.06,29.88,180
82.06,30.19,180
82.06,30.56,180
82.06,31,180
82.06,31.5,180
82.06,32.06,180
82.06,32.69,180
82.06,33.38,180
82.06,34.13,180
82.06,34.88,180
82.06,35.63,180
82.06,36.38,180
82.06,37.13,180
82.06,37.88,180
82.06,38.63,180
82.06,39.38,180
82.06,40.13,180
82.06,40.88,180
82.06,41.63,180
82.06,42.38,180
82.06,43.13,180
82.06,43.88,180
82.06,44.63,180
82.06,45.38,180
82.06,46.13,180
82.06,46.88,180
82.06,47.63,180
82.06,48.38,180
82.06,49.13,180
82.06,49.88,180
82.06,50.63,180
82.06,51.38,180
82.06,52.13,180
82.06,52.88,180
82.06,53.63,180
82.06,54.38,180
82.06,55.13,180
82.06,55.81,180
82.06,56.44,180
82.06,57,180
82.06,57.5,180
82.06,57.94,180
82.06,58.31,180
82.06,58.63,180
82.06,58.88,180
82.06,59.06,180
82.06,59.19,180
82.06,59.25,180
82.06,59.25,180
82.06,59.25,180
82.06,59.25,180
82.06,59.25,172.5
82.06,59.25,165
82.06,59.25,157.5
82.06,59.25,150
82.06,59.25,142.5
82.06,59.25,135
82.06,59.25,127.5
82.06,59.25,120
82.06,59.25,112.5
82.06,59.25,105
82.06,59.25,97.5
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,90
82.06,59.25,97.5
82.06,59.25,105
82.06,59.25,112.5
82.06,59.25,120
82.06,59.25,127.5
82.06,59.25,135
82.06,59.25,142.5
82.06,59.25,150
82.06,59.25,157.5
